"","Referência","Quartos","Banheiros","Suítes","Vagas.de.Garagem","Bairro","Área.Total","Valor.Venda"
"2852"," 20988-4",5,3,0,3," Uvaranas",462,4e+05
"2854"," 151152-4",3,3,1,2," Nova Rússia",118,4e+05
"2856"," 151170-4",3,3,1,3," Orfãs",93,4e+05
"2859"," 85765-4",3,2,1,2," Ronda",230,4e+05
"2860"," 135127-4",3,3,1,3," Orfãs",142,4e+05
"2861"," 129511-4",3,3,1,2," Oficinas",114,4e+05
"2864"," 151675-4",3,3,1,2," Nova Rússia",100,4e+05
"2874"," 110555-4",3,3,1,2," Uvaranas",196,4e+05
"2876"," 81971-4",3,2,1,2," Orfãs",163,4e+05
"2878"," 151156-4",4,4,2,2," Estrela",150,390000
"2879"," 146421-4",3,3,1,2," Estrela",204,390000
"2880"," 128319-4",3,2,1,4," Estrela",148,390000
"2885"," 147945-4",3,3,1,2," Neves",162,385000
"2886"," 147959-4",3,3,1,2," Uvaranas",162,380000
"2889"," 65041-4",3,2,1,1," Nova Rússia",104,380000
"2891"," 154968-4",3,3,1,2," Oficinas",135,380000
"2892"," 143151-4",3,1,1,2," Jardim Carvalho",133,380000
"2895"," 126327-4",3,2,1,2," Uvaranas",105,375000
"2896"," 151187-4",3,2,0,3," Orfãs",80,370000
"2897"," 132312-4",3,2,1,2," Uvaranas",384,370000
"2899"," 154740-4",3,1,1,4," Orfãs",130,370000
"2903"," 131568-4",3,3,1,2," Oficinas",114,361000
"2904"," 134305-4",3,3,1,4," Jardim Carvalho",138,360000
"2911"," 143613-4",3,2,0,1," Olarias",104,360000
"2914"," 98576-4",2,2,0,3," Oficinas",142,350000
"2917"," 108548-4",3,1,1,3," Uvaranas",288,350000
"2918"," 102236-4",2,3,2,2," Uvaranas",170,350000
"2919"," 146607-4",3,1,1,2," Orfãs",101,350000
"2920"," 132005-4",3,1,1,2," Jardim Carvalho",128,350000
"2921"," 134459-4",2,1,1,1," Jardim Carvalho",109,350000
"2924"," 134464-4",2,1,2,1," Uvaranas",140,350000
"2927"," 145388-4",2,2,1,1," Jardim Carvalho",91,350000
"2929"," 118612-4",3,3,1,2," Boa Vista",150,350000
"2930"," 131232-4",3,2,1,2," Uvaranas",112,345000
"2932"," 131570-4",3,3,1,1," Uvaranas",102,345000
"2933"," 110560-4",2,1,0,2," Uvaranas",102,345000
"2934"," 143636-4",3,3,1,2," Uvaranas",100,340000
"2935"," 143626-4",3,2,1,2," Estrela",148,340000
"2937"," 143909-4",3,2,1,2," Estrela",148,340000
"2938"," 143910-4",3,2,1,2," Estrela",148,340000
"2939"," 143911-4",3,2,1,2," Estrela",148,340000
"2940"," 143912-4",3,2,1,2," Estrela",148,340000
"2942"," 133563-4",3,1,1,1," Uvaranas",110,330000
"2944"," 126633-4",3,2,1,2," Uvaranas",200,330000
"2945"," 102063-4",3,2,1,2," Uvaranas",110,330000
"2946"," 131559-4",3,3,1,2," Jardim Carvalho",106,330000
"2947"," 144301-4",3,1,1,2," Boa Vista",88,330000
"2949"," 134889-4",3,1,0,1," Nova Rússia",153,320000
"2950"," 130789-4",3,2,1,1," Uvaranas",140,320000
"2952"," 143042-4",3,3,1,2," Colônia Dona Luiza",106,320000
"2953"," 131569-4",4,3,1,2," Uvaranas",224,320000
"2954"," 132295-4",3,3,1,2," Jardim Carvalho",137,320000
"2956"," 76605-4",4,3,1,3," Contorno / Sta. Paula",224,320000
"2958"," 90992-4",3,2,1,1," Jardim Carvalho",106,315000
"2961"," 155009-4",3,1,1,2," Oficinas",91,310000
"2963"," 104248-4",3,2,1,1," Jardim Carvalho",105,310000
"2966"," 146748-4",3,1,0,1," Oficinas",100,310000
"2969"," 146551-4",3,2,1,1," Jardim Carvalho",125,3e+05
"2971"," 150602-4",3,2,0,3," Contorno / Sta. Paula",112,3e+05
"2972"," 87621-4",3,2,0,2," Estrela",100,3e+05
"2976"," 105085-4",3,3,1,1," Uvaranas",107,3e+05
"2977"," 105775-4",3,3,1,1," Uvaranas",123,3e+05
"2980"," 107918-4",3,4,1,1," Uvaranas",150,299000
"2983"," 146888-4",3,1,0,1," Estrela",80,295000
"2989"," 132004-4",3,1,1,2," Jardim Carvalho",89,290000
"2995"," 145706-4",3,2,1,2," Jardim Carvalho",98,285000
"2996"," 143941-4",3,2,1,2," Colônia Dona Luiza",95,285000
"2997"," 51666-4",3,1,0,2," Chapada",462,280000
"2998"," 148018-4",3,2,1,2," Contorno / Sta. Paula",130,280000
"2999"," 146650-4",3,1,1,2," Uvaranas",97,280000
"3000"," 130589-4",3,2,1,1," Estrela",90,280000
"3002"," 145570-4",3,2,0,2," Orfãs",130,280000
"3003"," 148368-4",3,3,1,2," Uvaranas",100,280000
"3008"," 146146-4",3,3,1,2," Jardim Carvalho",103,270000
"3010"," 149088-4",3,2,1,1," Uvaranas",87,270000
"3013"," 146020-4",3,2,0,2," Jardim Carvalho",102,270000
"3014"," 151044-4",3,2,1,2," Contorno / Sta. Paula",100,265000
"3015"," 131567-4",3,4,3,2," Uvaranas",122,265000
"3016"," 107828-4",3,2,1,3," Contorno / Sta. Paula",130,265000
"3017"," 143832-4",3,2,1,2," Uvaranas",120,265000
"3018"," 151043-4",3,2,1,1," Jardim Carvalho",110,260000
"3026"," 107603-4",3,1,1,2," Contorno / Sta. Paula",100,260000
"3028"," 145801-4",3,2,0,2," Estrela",152,260000
"3029"," 99719-4",3,3,1,4," Oficinas",100,260000
"3031"," 102112-4",3,2,1,4," Oficinas",83,257000
"3032"," 100692-4",3,2,1,3," Contorno / Sta. Paula",130,255000
"3034"," 150526-4",2,2,0,1," Jardim Carvalho",73,255000
"3038"," 19602-4",2,1,0,1," Uvaranas",100,250000
"3039"," 132649-4",3,2,1,1," Boa Vista",200,250000
"3040"," 144612-4",2,2,0,2," Neves",80,250000
"3041"," 85885-4",3,2,1,2," Estrela",142,250000
"3042"," 102437-4",3,3,1,1," Uvaranas",92,250000
"3043"," 144410-4",1,2,0,1," Estrela",70,250000
"3050"," 154779-4",3,1,1,2," Cará-cará",304,250000
"3051"," 151610-4",2,1,1,1," Cará-cará",84,249000
"3052"," 118653-4",2,2,0,1," Nova Rússia",84,248000
"3055"," 109874-4",2,2,0,1," Nova Rússia",83,248000
"3057"," 151040-4",3,3,1,1," Jardim Carvalho",93,245000
"3058"," 145683-4",3,2,1,2," Uvaranas",110,245000
"3059"," 80295-4",3,3,1,1," Jardim Carvalho",93,245000
"3062"," 127070-4",3,1,1,1," Jardim Carvalho",93,245000
"3063"," 153590-4",3,1,0,2," Jardim Carvalho",64,240000
"3065"," 132145-4",3,2,1,1," Jardim Carvalho",76,240000
"3067"," 126929-4",3,2,0,2," Uvaranas",76,239000
"3068"," 134382-4",3,2,0,1," Uvaranas",100,235000
"3071"," 129636-4",3,2,0,1," Jardim Carvalho",80,230000
"3075"," 134160-4",3,2,1,1," Jardim Carvalho",76,230000
"3076"," 110605-4",2,2,0,1," Orfãs",84,230000
"3079"," 154661-4",2,2,1,2," Estrela",152,229000
"3081"," 150599-4",3,2,0,2," Uvaranas",75,225000
"3084"," 106469-4",3,2,1,1," Centro",100,225000
"3086"," 145405-4",3,1,0,2," Uvaranas",75,225000
"3087"," 131460-4",3,1,1,1," Oficinas",59,220000
"3088"," 154539-4",3,2,0,3," Chapada",108,220000
"3090"," 133612-4",3,2,0,2," Contorno / Sta. Paula",100,220000
"3093"," 118552-4",2,2,0,1," Uvaranas",77,220000
"3094"," 151032-4",3,1,0,1," Contorno / Sta. Paula",100,220000
"3095"," 132562-4",3,2,1,2," Uvaranas",150,218000
"3100"," 146749-4",2,2,0,1," Estrela",63,215000
"3101"," 98584-4",2,1,0,1," Uvaranas",74,215000
"3102"," 145404-4",2,1,0,1," Estrela",62,215000
"3103"," 27579-4",2,2,0,2," Nova Rússia",191,212000
"3106"," 150716-4",2,2,0,2," Contorno / Sta. Paula",95,210000
"3107"," 151188-4",3,2,0,1," Jardim Carvalho",72,200200
"3110"," 23266-4",2,2,0,2," Oficinas",80,2e+05
"3111"," 154536-4",2,2,0,2," Boa Vista",108,2e+05
"3112"," 154537-4",3,1,0,1," Boa Vista",80,2e+05
"3113"," 101681-4",3,1,1,2," Nova Rússia",80,2e+05
"3115"," 102237-4",3,1,0,1," Jardim Carvalho",79,2e+05
"3116"," 104287-4",2,1,0,2," Uvaranas",69,2e+05
"3120"," 146062-4",3,1,0,1," Uvaranas",100,2e+05
"3121"," 99887-4",2,2,0,2," Chapada",88,2e+05
"3122"," 146317-4",3,2,1,2," Uvaranas",100,2e+05
"3125"," 129706-4",2,1,0,2," Uvaranas",65,195000
"3126"," 111534-4",2,2,1,4," Cará-cará",175,195000
"3131"," 143183-4",1,1,0,2," Contorno / Sta. Paula",200,190000
"3132"," 135064-4",2,2,0,2," Orfãs",67,190000
"3133"," 111500-4",3,2,0,2," Cará-cará",103,190000
"3138"," 97331-4",2,1,0,1," Nova Rússia",73,190000
"3139"," 128485-4",2,3,1,1," Uvaranas",82,190000
"3140"," 143837-4",3,1,1,1," Oficinas",65,190000
"3141"," 133051-4",2,1,0,1," Centro",67,190000
"3142"," 150434-4",2,2,0,1," Orfãs",68,189000
"3147"," 131550-4",2,2,0,1," Oficinas",70,185000
"3157"," 144977-4",2,2,1,2," Orfãs",68,185000
"3158"," 145402-4",2,1,0,1," Uvaranas",60,185000
"3159"," 145403-4",2,1,0,1," Uvaranas",66,185000
"3161"," 154756-4",3,1,0,1," Colônia Dona Luiza",64,180000
"3164"," 127903-4",2,2,0,2," Neves",53,180000
"3170"," 110945-4",3,1,0,1," Jardim Carvalho",70,180000
"3172"," 151023-4",3,1,0,2," Cará-cará",70,180000
"3173"," 128019-4",2,2,0,2," Uvaranas",70,175000
"3174"," 145608-4",3,1,0,1," Estrela",55,175000
"3176"," 151179-4",2,2,0,2," Cará-cará",64,170000
"3177"," 148285-4",2,1,0,1," Nova Rússia",117,170000
"3178"," 132026-4",3,1,0,1," Cará-cará",60,170000
"3181"," 84847-4",3,2,0,1," Ronda",75,170000
"3183"," 134533-4",2,3,1,1," Uvaranas",150,170000
"3184"," 130864-4",3,2,0,1," Ronda",80,169000
"3188"," 154534-4",2,1,0,1," Neves",53,165000
"3190"," 111535-4",2,2,1,2," Cará-cará",112,165000
"3194"," 150376-4",3,1,0,1," Contorno / Sta. Paula",200,165000
"3195"," 151016-4",2,1,0,1," Jardim Carvalho",57,163000
"3196"," 100689-4",3,1,0,1," Orfãs",64,162000
"3201"," 120203-4",2,2,0,2," Jardim Carvalho",68,160000
"3202"," 149070-4",2,1,0,2," Boa Vista",82,160000
"3203"," 127204-4",2,1,0,2," Uvaranas",62,160000
"3204"," 111622-4",3,1,0,1," Uvaranas",88,160000
"3206"," 155004-4",2,1,0,1," Oficinas",46,155000
"3207"," 155005-4",2,1,0,1," Oficinas",54,155000
"3209"," 144778-4",2,2,0,1," Uvaranas",55,150000
"3211"," 143444-4",2,2,0,1," Boa Vista",72,150000
"3212"," 97756-4",3,2,0,2," Boa Vista",80,150000
"3213"," 111260-4",2,1,0,1," Boa Vista",60,150000
"3216"," 18366-4",3,1,0,1," Boa Vista",70,150000
"3217"," 119840-4",2,1,0,1," Colônia Dona Luiza",62,150000
"3219"," 151011-4",2,1,0,1," Uvaranas",82,150000
"3220"," 146054-4",2,3,0,3," Uvaranas",182,150000
"3221"," 120106-4",2,1,0,1," Neves",55,150000
"3222"," 128198-4",2,1,0,1," Olarias",46,149000
"3225"," 128487-4",2,1,0,1," Cará-cará",65,145000
"3227"," 154967-4",2,1,0,2," Oficinas",42,145000
"3230"," 132027-4",2,1,0,1," Cará-cará",50,142000
"3231"," 154533-4",2,1,0,1," Orfãs",40,140000
"3232"," 91974-4",3,2,1,3," Uvaranas",286,140000
"3233"," 147847-4",3,1,0,3," Oficinas",58,140000
"3234"," 109873-4",2,1,0,1," Uvaranas",60,140000
"3235"," 126152-4",2,1,0,1," Uvaranas",53,140000
"3236"," 132025-4",2,1,0,1," Cará-cará",50,137000
"3237"," 151262-4",3,1,0,1," Cará-cará",60,133000
"3238"," 132801-4",3,2,1,1," Jardim Carvalho",42,130000
"3239"," 144828-4",2,1,0,1," Uvaranas",53,130000
"3240"," 132728-4",2,1,0,1," Uvaranas",54,130000
"3242"," 41633-4",2,1,0,1," Uvaranas",60,130000
"3243"," 130792-4",2,2,0,1," Uvaranas",59,129000
"3244"," 149075-4",2,1,0,4," Oficinas",60,128000
"3246"," 144827-4",2,1,0,1," Uvaranas",55,125000
"3247"," 147105-4",2,1,0,1," Boa Vista",60,125000
"3248"," 151259-4",2,2,0,1," Olarias",60,125000
"3249"," 151212-4",2,1,0,1," Uvaranas",54,120000
"3250"," 84890-4",2,1,0,2," Boa Vista",50,120000
"3252"," 18238-4",2,1,0,1," Uvaranas",48,115000
"3253"," 131495-4",3,1,0,1," Neves",275,115000
"3254"," 130581-4",2,1,0,1," Uvaranas",50,114950
"3256"," 145982-4",2,1,0,1," Boa Vista",40,110000
"3257"," 126791-4",2,1,0,1," Uvaranas",40,110000
"3259"," 94272-4",2,1,0,2," Cará-cará",82,102900
"3261"," 146514-4",2,1,0,1," Orfãs",63,1e+05
"3263"," 101332-4",2,1,0,1," Ronda",46,1e+05
"3264"," 145579-4",2,1,0,1," Estrela",50,1e+05
"3266"," 125581-4",2,1,0,1," Olarias",52,95000
"3268"," 103959-4",2,1,0,1," Ronda",46,90000
"3269"," 129866-4",2,1,0,1," Cará-cará",50,80000
"3270"," 130518-4",2,1,0,1," Jardim Carvalho",50,75000
"3276"," 130651-4",4,7,4,6," Orfãs",793,5e+06
"3277"," 117793-4",4,7,4,6," Orfãs",1012,5e+06
"3279"," 154778-4",4,4,2,4," Estrela",780,4500000
"3280"," 132294-4",3,6,3,6," Estrela",760,4e+06
"3281"," 143097-4",3,1,3,6," Estrela",760,4e+06
"3282"," 85109-4",4,5,4,6," Orfãs",550,3990000
"3283"," 147397-4",4,7,4,4," Estrela",850,3950000
"3284"," 23186-4",4,1,4,4," Orfãs",823,3900000
"3285"," 119798-4",4,7,4,5," Estrela",690,3500000
"3287"," 142534-4",4,7,4,4," Colônia Dona Luiza",750,3200000
"3288"," 37614-4",4,6,4,4," Colônia Dona Luiza",590,3200000
"3290"," 133753-4",4,1,3,2," Orfãs",336,2900000
"3291"," 131456-4",4,6,4,6," Orfãs",820,2800000
"3293"," 52833-4",3,6,3,4," Estrela",779,2800000
"3294"," 143372-4",4,5,4,2," Estrela",725,2800000
"3295"," 85479-4",4,5,4,5," Oficinas",744,2500000
"3296"," 119912-4",4,5,2,2," Orfãs",520,2500000
"3297"," 132852-4",4,4,3,4," Estrela",411,2500000
"3298"," 151219-4",4,5,2,2," Orfãs",376,2500000
"3299"," 133691-4",4,2,2,2," Orfãs",378,2500000
"3300"," 65871-4",4,1,2,2," Orfãs",534,2500000
"3303"," 131454-4",5,6,4,4," Estrela",402,2300000
"3304"," 93066-4",4,4,4,4," Estrela",436,2300000
"3305"," 132021-4",4,4,4,4," Estrela",547,2300000
"3306"," 127075-4",3,4,3,2," Estrela",318,2300000
"3308"," 130648-4",5,6,4,4," Estrela",386,2300000
"3309"," 154777-4",4,4,2,4," Orfãs",810,2290000
"3314"," 151221-4",4,6,4,3," Orfãs",380,2150000
"3316"," 91972-4",3,4,3,2," Estrela",403,2100000
"3317"," 130647-4",3,5,3,2," Estrela",360,2100000
"3318"," 131453-4",3,5,3,2," Estrela",529,2e+06
"3319"," 151099-4",8,4,0,6," Contorno / Sta. Paula",383,2e+06
"3322"," 118234-4",4,6,4,2," Colônia Dona Luiza",370,1990000
"3324"," 154649-4",4,5,2,2," Jardim Carvalho",420,1980000
"3325"," 146282-4",4,4,3,3," Orfãs",273,1975000
"3326"," 131462-4",4,6,4,4," Orfãs",528,1950000
"3327"," 133281-4",4,2,4,2," Orfãs",408,1950000
"3328"," 125713-4",4,7,4,6," Orfãs",430,1950000
"3329"," 147346-4",4,1,3,2," Orfãs",270,1950000
"3331"," 84053-4",3,4,3,2," Oficinas",465,1950000
"3332"," 134521-4",4,4,3,3," Orfãs",607,1920000
"3334"," 98778-4",3,3,1,4," Jardim Carvalho",396,1875000
"3335"," 131470-4",3,4,1,4," Estrela",413,1860000
"3336"," 132225-4",3,5,3,2," Orfãs",320,1850000
"3338"," 150375-4",3,4,1,2," Oficinas",643,1850000
"3339"," 92025-4",4,2,2,2," Estrela",417,1850000
"3341"," 104594-4",4,3,2,3," Centro",462,1800000
"3343"," 145571-4",4,5,4,4," Jardim Carvalho",475,1800000
"3344"," 27694-4",4,4,3,2," Estrela",417,1800000
"3345"," 41624-4",4,6,4,2," Estrela",400,1800000
"3346"," 145159-4",3,4,3,2," Orfãs",462,1800000
"3348"," 111621-4",5,4,2,4," Estrela",300,1700000
"3349"," 146281-4",3,4,2,4," Jardim Carvalho",367,1700000
"3350"," 145046-4",4,4,4,2," Colônia Dona Luiza",301,1665000
"3352"," 146824-4",4,3,1,2," Oficinas",495,1600000
"3353"," 145654-4",3,4,3,4," Jardim Carvalho",367,1600000
"3355"," 99388-4",4,5,3,4," Estrela",381,1600000
"3356"," 149071-4",4,3,1,2," Estrela",406,1600000
"3357"," 134623-4",3,4,2,2," Oficinas",362,1600000
"3358"," 147446-4",3,4,3,4," Orfãs",260,1600000
"3361"," 151223-4",4,4,2,4," Jardim Carvalho",290,1550000
"3362"," 151243-4",3,5,3,8," Colônia Dona Luiza",432,1550000
"3363"," 84052-4",5,4,1,4," Colônia Dona Luiza",610,1550000
"3366"," 22408-4",3,2,1,6," Oficinas",600,1500000
"3370"," 148987-4",3,3,1,4," Oficinas",389,1500000
"3371"," 154380-4",4,3,1,2," Oficinas",600,1500000
"3372"," 151095-4",4,4,3,1," Oficinas",280,1500000
"3373"," 151263-4",3,4,3,3," Contorno / Sta. Paula",432,1500000
"3374"," 144417-4",3,4,3,2," Colônia Dona Luiza",320,1500000
"3375"," 148053-4",4,6,3,3," Olarias",300,1500000
"3376"," 75571-4",3,4,1,2," Oficinas",380,1500000
"3377"," 131560-4",3,5,3,3," Estrela",400,1500000
"3380"," 109826-4",3,5,3,2," Orfãs",535,1500000
"3382"," 131469-4",4,5,2,2," Jardim Carvalho",300,1480000
"3383"," 151240-4",4,5,4,4," Jardim Carvalho",338,1480000
"3384"," 99559-4",3,4,1,2," Jardim Carvalho",300,1450000
"3385"," 131554-4",5,3,1,3," Oficinas",720,1450000
"3386"," 144418-4",4,6,4,3," Colônia Dona Luiza",450,1420000
"3387"," 150631-4",3,4,1,4," Oficinas",400,1400000
"3390"," 18779-4",3,5,1,2," Oficinas",340,1400000
"3391"," 127057-4",3,4,0,2," Uvaranas",420,1400000
"3392"," 143582-4",3,3,3,2," Jardim Carvalho",275,1400000
"3393"," 126562-4",3,2,3,4," Jardim Carvalho",285,1400000
"3396"," 154381-4",3,5,3,3," Oficinas",300,1350000
"3397"," 151245-4",4,4,1,2," Jardim Carvalho",320,1350000
"3399"," 142891-4",3,4,3,2," Jardim Carvalho",356,1350000
"3400"," 94336-4",4,4,1,4," Jardim Carvalho",320,1330000
"3402"," 131448-4",3,3,1,2," Jardim Carvalho",380,1300000
"3403"," 117797-4",4,3,2,2," Contorno / Sta. Paula",450,1300000
"3404"," 150834-4",3,2,1,2," Uvaranas",200,1300000
"3405"," 27582-4",3,1,1,4," Estrela",575,1300000
"3406"," 154594-4",4,2,1,2," Jardim Carvalho",210,1300000
"3407"," 97217-4",3,3,1,2," Jardim Carvalho",256,1300000
"3408"," 22413-4",4,5,4,1," Oficinas",300,1300000
"3410"," 98490-4",4,6,4,4," Oficinas",300,1290000
"3411"," 118669-4",4,6,4,4," Oficinas",220,1280000
"3412"," 21282-4",3,5,3,4," Oficinas",330,1280000
"3413"," 82575-4",3,4,3,2," Oficinas",330,1280000
"3415"," 131461-4",3,4,3,2," Colônia Dona Luiza",300,1250000
"3416"," 131464-4",3,4,3,2," Neves",300,1250000
"3417"," 94215-4",3,4,3,2," Neves",280,1250000
"3418"," 126924-4",3,3,3,2," Jardim Carvalho",295,1250000
"3419"," 151093-4",3,5,3,2," Colônia Dona Luiza",245,1250000
"3420"," 22834-4",5,3,1,2," Jardim Carvalho",270,1250000
"3421"," 32809-4",5,5,1,4," Jardim Carvalho",375,1250000
"3422"," 131576-4",3,2,3,3," Orfãs",300,1250000
"3423"," 131813-4",3,3,3,2," Neves",282,1250000
"3424"," 131163-4",3,4,3,2," Neves",280,1250000
"3425"," 119865-4",4,4,1,2," Jardim Carvalho",300,1250000
"3426"," 83079-4",2,2,1,2," Oficinas",300,1250000
"3427"," 154324-4",3,6,3,4," Colônia Dona Luiza",296,1250000
"3428"," 130635-4",4,5,4,2," Oficinas",290,1230000
"3430"," 94389-4",4,3,1,4," Jardim Carvalho",442,1200000
"3431"," 154592-4",3,3,2,1," Oficinas",330,1200000
"3433"," 145978-4",3,4,1,2," Oficinas",320,1200000
"3435"," 143559-4",3,5,3,4," Colônia Dona Luiza",220,1200000
"3436"," 98911-4",5,3,2,4," Orfãs",570,1200000
"3437"," 132809-4",4,2,3,4," Orfãs",271,1200000
"3438"," 110266-4",3,5,3,2," Colônia Dona Luiza",300,1190000
"3439"," 110475-4",3,4,2,2," Jardim Carvalho",220,1190000
"3440"," 129595-4",3,5,3,4," Colônia Dona Luiza",300,1190000
"3441"," 130637-4",3,4,3,2," Colônia Dona Luiza",218,1190000
"3445"," 19242-4",3,5,3,4," Colônia Dona Luiza",290,1150000
"3447"," 146048-4",3,4,1,2," Jardim Carvalho",300,1150000
"3448"," 145022-4",3,3,3,2," Estrela",250,1125000
"3449"," 144300-4",3,3,1,2," Oficinas",252,1125000
"3450"," 20996-4",4,3,2,2," Jardim Carvalho",630,1100000
"3451"," 134380-4",3,2,3,2," Jardim Carvalho",323,1100000
"3452"," 132768-4",4,3,2,4," Uvaranas",634,1100000
"3453"," 148134-4",3,5,3,3," Jardim Carvalho",300,1100000
"3456"," 151615-4",3,3,1,4," Jardim Carvalho",237,1100000
"3457"," 120111-4",2,2,1,2," Oficinas",280,1100000
"3458"," 132347-4",3,5,3,3," Jardim Carvalho",320,1070000
"3459"," 147491-4",3,4,3,4," Jardim Carvalho",372,1050000
"3460"," 132589-4",3,2,3,2," Oficinas",350,1050000
"3462"," 104079-4",3,5,3,2," Estrela",495,1050000
"3464"," 148333-4",3,5,3,2," Jardim Carvalho",230,1050000
"3467"," 20993-4",4,4,1,2," Uvaranas",630,1e+06
"3468"," 98840-4",3,4,1,6," Jardim Carvalho",462,1e+06
"3469"," 96955-4",3,2,3,2," Jardim Carvalho",300,995000
"3470"," 106219-4",3,4,3,4," Colônia Dona Luiza",270,995000
"3473"," 146342-4",3,4,3,2," Colônia Dona Luiza",237,990000
"3474"," 146832-4",3,4,3,4," Oficinas",247,990000
"3475"," 37344-4",3,2,1,4," Oficinas",528,990000
"3477"," 146420-4",4,4,2,4," Estrela",400,990000
"3478"," 104562-4",3,3,1,4," Uvaranas",227,990000
"3479"," 105656-4",3,3,1,2," Oficinas",300,990000
"3480"," 27572-4",3,3,1,2," Oficinas",300,990000
"3481"," 99389-4",4,3,1,2," Jardim Carvalho",300,990000
"3482"," 144624-4",3,3,2,3," Centro",250,980000
"3484"," 110477-4",3,2,1,2," Jardim Carvalho",225,980000
"3485"," 131868-4",3,4,1,3," Oficinas",462,980000
"3486"," 133408-4",3,3,1,2," Jardim Carvalho",316,970000
"3489"," 20985-4",4,3,2,6," Jardim Carvalho",600,950000
"3490"," 146343-4",3,4,3,2," Colônia Dona Luiza",247,950000
"3491"," 146833-4",3,3,1,4," Oficinas",237,950000
"3492"," 147078-4",3,3,1,4," Jardim Carvalho",300,950000
"3493"," 126916-4",5,1,1,2," Uvaranas",250,950000
"3494"," 134915-4",3,3,1,4," Jardim Carvalho",185,950000
"3495"," 145791-4",3,3,1,2," Nova Rússia",350,950000
"3498"," 111515-4",4,3,2,3," Jardim Carvalho",332,930000
"3501"," 89490-4",3,3,1,4," Neves",300,915000
"3502"," 146381-4",6,5,2,4," Neves",319,9e+05
"3504"," 150417-4",5,3,0,4," Centro",230,9e+05
"3505"," 130245-4",3,5,3,4," Estrela",290,9e+05
"3506"," 143683-4",3,4,1,2," Jardim Carvalho",312,895000
"3507"," 107825-4",3,3,3,2," Oficinas",301,895000
"3508"," 131451-4",3,3,1,2," Oficinas",248,890000
"3510"," 130628-4",3,2,1,3," Oficinas",300,890000
"3512"," 148133-4",3,3,1,3," Oficinas",300,890000
"3513"," 110553-4",4,4,3,3," Estrela",297,890000
"3515"," 117816-4",3,5,3,4," Estrela",250,875000
"3516"," 147492-4",3,4,3,4," Uvaranas",300,850000
"3517"," 153599-4",4,2,1,5," Orfãs",288,850000
"3519"," 151083-4",6,3,1,4," Chapada",300,850000
"3520"," 151084-4",6,3,1,4," Chapada",300,850000
"3522"," 151196-4",3,3,1,2," Neves",214,850000
"3523"," 129502-4",4,4,1,4," Orfãs",462,850000
"3524"," 148061-4",3,3,1,5," Oficinas",280,850000
"3526"," 111359-4",3,4,1,4," Orfãs",390,850000
"3528"," 76953-4",4,4,1,4," Centro",364,850000
"3531"," 108341-4",4,4,4,3," Jardim Carvalho",450,845000
"3533"," 129413-4",3,3,2,6," Oficinas",190,820000
"3534"," 118446-4",4,3,1,4," Orfãs",235,8e+05
"3535"," 151081-4",3,2,1,3," Centro",148,8e+05
"3537"," 126485-4",3,2,1,3," Uvaranas",474,8e+05
"3539"," 154659-4",3,3,1,2," Centro",205,8e+05
"3542"," 129597-4",3,2,1,2," Neves",300,8e+05
"3545"," 20980-4",6,2,2,4," Oficinas",336,795000
"3546"," 146354-4",3,2,1,4," Cará-cará",132,795000
"3547"," 131445-4",3,3,1,2," Jardim Carvalho",300,790000
"3548"," 127100-4",3,2,1,2," Jardim Carvalho",165,790000
"3550"," 151202-4",3,2,1,3," Jardim Carvalho",165,790000
"3551"," 151209-4",3,3,1,4," Orfãs",210,790000
"3552"," 99513-4",3,3,1,2," Jardim Carvalho",165,790000
"3554"," 105766-4",3,3,1,2," Neves",300,790000
"3555"," 87395-4",3,3,1,2," Uvaranas",190,790000
"3559"," 142481-4",4,5,2,2," Orfãs",280,760000
"3564"," 83231-4",3,1,1,2," Jardim Carvalho",372,750000
"3565"," 21910-4",3,3,1,2," Neves",300,730000
"3571"," 154858-4",4,4,1,6," Boa Vista",640,7e+05
"3573"," 106906-4",3,5,2,2," Uvaranas",314,7e+05
"3575"," 81553-4",4,3,1,2," Nova Rússia",400,7e+05
"3576"," 125568-4",4,5,3,2," Uvaranas",314,7e+05
